Cohort,Settlement Date,Family,Facility,Tank,TaskID,Inventory Date,Months since Set date,Total Animals,Mean SL (mm)
2019,5/30/2019,OR94 X GR09,MCR,B24,Inventory_1,12/3/2019,6,50,3.840
2019,5/30/2019,OR94 X GR09,MCR,B25,Inventory_1,12/3/2019,6,112,4.240
2019,5/30/2019,OR94 X OR85,MCR,B34,Inventory_1,12/3/2019,6,124,4.483
2019,5/30/2019,OR94 X OR97,MCR,B22,Inventory_1,12/3/2019,6,103,4.530
2019,6/6/2019,OR98 X GR05,MCR,B37,Inventory_1,12/3/2019,5,113,3.140
2019,6/6/2019,OR98 X OR87,MCR,B26,Inventory_1,12/3/2019,5,242,4.160
2019,6/6/2019,OR98 X OR95,MCR,B27,Inventory_1,12/3/2019,5,11,2.945
2019,6/6/2019,GR03 X GR08,MCR,C23,Inventory_1,12/4/2019,5,51,4.680
2019,6/6/2019,GR03 X GR08,MCR,C33,Inventory_1,12/4/2019,5,7,4.786
2019,6/6/2019,GR03 X GR11,MCR,C24,Inventory_1,12/4/2019,5,109,5.260
2019,6/6/2019,GR03 X GR11,MCR,C34,Inventory_1,12/4/2019,5,25,3.850
2019,6/6/2019,OR92 X GR08,MCR,C31,Inventory_1,12/4/2019,5,18,4.573
2019,6/6/2019,OR92 X GR08,MCR,C32,Inventory_1,12/4/2019,5,86,4.693
2019,6/6/2019,OR93 X GR11,MCR,C25,Inventory_1,12/4/2019,5,35,5.383
2019,5/30/2019,OR94 X GR09,MCR,C22,Inventory_1,12/4/2019,6,67,4.580
2019,5/30/2019,OR94 X OR85,MCR,C21,Inventory_1,12/4/2019,6,57,3.667
2019,6/6/2019,GR03 X GR08,MCR,D09,Inventory_1,12/8/2019,6,4,6.600
2019,6/6/2019,GR03 X GR11,MCR,D15,Inventory_1,12/8/2019,6,41,3.560
2019,6/6/2019,OR88 X GR05,MCR,C35,Inventory_1,12/8/2019,6,514,3.543
2019,5/30/2019,OR94 X OR85,MCR,D11,Inventory_1,12/8/2019,6,6,6.040
2019,5/30/2019,OR94 X OR85,MCR,D17,Inventory_1,12/8/2019,6,4,5.725
2019,5/30/2019,OR94 X OR97,MCR,D10,Inventory_1,12/8/2019,6,43,3.920
2019,5/30/2019,OR94 X OR97,MCR,D16,Inventory_1,12/8/2019,6,21,4.760
2019,6/18/2019,GR14 X OR29,MCR,B11,Inventory_1,12/17/2019,5,125,3.680
2019,6/18/2019,GR14 X OR29,MCR,B13,Inventory_1,12/17/2019,5,57,2.600
2019,6/18/2019,GR14 X OR29,MCR,B14,Inventory_1,12/17/2019,5,206,3.300
2019,6/18/2019,GR14 X OR29,MCR,B15,Inventory_1,12/17/2019,5,217,2.820
2019,6/18/2019,GR14 X OR55,MCR,B28,Inventory_1,12/17/2019,5,82,6.200
2019,6/18/2019,GR14 X OR55,MCR,B29,Inventory_1,12/17/2019,5,126,4.480
2019,6/18/2019,GR14 X OR55,MCR,B30,Inventory_1,12/17/2019,5,91,4.480
